TransactionID,TransactionDate,RouteID,TransactionType,Amount
95,2024-11-19,11,Crew Cost,-9767.62
96,2025-12-30,10,Fuel,-19969.77
97,2024-06-05,10,Maintenance,-3988.82
98,2024-10-14,4,Fuel,-11663.14
99,2025-11-11,10,Baggage Revenue,22211.76
100,2025-09-10,1,Airport Fees,-21647.72
101,2026-06-03,10,Baggage Revenue,20421.62
102,2025-06-18,8,Ticket Revenue,2912.06
103,2024-08-28,7,Maintenance,-14633.71
104,2025-05-15,11,Airport Fees,-8264.54
105,2024-10-22,12,Crew Cost,-24289.09
106,2024-05-21,3,Ticket Revenue,14566.99
107,2025-05-29,8,Baggage Revenue,22559.19
108,2024-02-19,6,Baggage Revenue,4747.94
109,2024-07-25,9,Crew Cost,-20724.86
110,2024-05-07,5,Crew Cost,-10542.68
111,2026-03-09,8,Fuel,-12289.87
112,2025-12-23,13,Crew Cost,-20619.49
113,2026-05-11,4,Maintenance,-5219.9
114,2026-08-14,15,Ticket Revenue,4324.48
115,2026-04-26,14,Airport Fees,-1577.26
116,2024-09-05,8,Crew Cost,-13633.99
117,2024-04-06,12,Maintenance,-17552.49
118,2024-09-10,6,Ticket Revenue,23231.08
119,2026-05-15,14,Ticket Revenue,19280.73
120,2025-01-03,10,Catering,-15576.53
121,2025-11-16,10,Ticket Revenue,12856.85
122,2024-12-11,15,Airport Fees,-11580.12
123,2025-07-08,11,Baggage Revenue,11097.97
124,2025-09-02,12,Catering,-20204.06
125,2026-05-12,15,Fuel,-9104.51
126,2025-03-04,2,Fuel,-8064.85
127,2026-06-19,4,Ticket Revenue,22349.2
128,2025-08-21,7,Crew Cost,-21826.74
129,2025-02-10,1,Baggage Revenue,18493.66
130,2024-04-03,3,Fuel,-16469.1
131,2026-08-14,9,Catering,-9287.75
132,2025-12-11,3,Crew Cost,-19227.68
133,2026-07-21,13,Fuel,-19701.33
134,2026-01-08,11,Ticket Revenue,12777.62
135,2024-11-26,7,Fuel,-9881.66
136,2026-06-29,12,Maintenance,-3227.18
137,2024-06-17,4,Baggage Revenue,14598.98
138,2025-09-19,8,Airport Fees,-13165.03
139,2025-01-27,12,Ticket Revenue,16038.92
140,2025-07-05,7,Crew Cost,-631.86
141,2024-01-17,9,Crew Cost,-15726.4
142,2025-07-10,6,Maintenance,-20614.17
143,2025-04-18,15,Fuel,-14845.97
144,2024-03-28,15,Fuel,-11462.21
145,2024-10-19,6,Fuel,-24894.39
146,2024-11-11,5,Fuel,-15463.68
147,2024-06-18,5,Baggage Revenue,20010.08
148,2026-05-03,4,Maintenance,-5785.37
149,2025-12-26,8,Baggage Revenue,5091.47
150,2026-04-27,15,Airport Fees,-23112.18
151,2024-04-17,15,Crew Cost,-23205.81
152,2026-07-03,9,Crew Cost,-3468.99
153,2025-04-29,9,Ticket Revenue,24101.35
154,2025-10-05,2,Ticket Revenue,18308.44
155,2026-07-19,6,Fuel,-7687.26
156,2024-08-01,12,Airport Fees,-5682.97
157,2026-04-03,8,Baggage Revenue,16391.21
158,2026-03-06,10,Fuel,-2706.7
159,2024-11-01,10,Ticket Revenue,17852.26
160,2025-07-08,13,Airport Fees,-20607.49
161,2025-10-14,8,Catering,-12872.1
162,2024-04-02,10,Airport Fees,-20692.0
163,2024-02-12,2,Crew Cost,-16962.21
164,2024-02-26,13,Crew Cost,-14590.72
165,2026-01-11,8,Maintenance,-10839.51
166,2025-08-20,12,Catering,-16413.94
167,2024-11-24,9,Fuel,-24366.17
168,2025-09-23,11,Fuel,-3210.15
169,2025-09-03,7,Catering,-4467.39
170,2024-10-22,13,Crew Cost,-16676.5
171,2025-04-24,1,Catering,-24618.83
172,2026-06-15,5,Maintenance,-12639.81
173,2026-05-06,4,Fuel,-10081.94
174,2024-06-18,2,Ticket Revenue,24021.5
175,2024-09-02,7,Airport Fees,-7187.29
176,2024-05-28,1,Airport Fees,-8422.72
177,2026-06-18,6,Baggage Revenue,10722.4
178,2024-12-19,3,Baggage Revenue,13127.38
179,2025-05-11,8,Airport Fees,-1634.66
180,2025-04-22,7,Airport Fees,-10243.82
181,2024-02-12,11,Baggage Revenue,14692.27
182,2025-03-22,1,Airport Fees,-3354.69
183,2024-03-20,3,Crew Cost,-11689.89
184,2025-10-24,11,Fuel,-7890.02
185,2024-12-03,3,Baggage Revenue,3054.6
186,2024-07-09,15,Maintenance,-22925.56
187,2024-07-01,14,Airport Fees,-9141.86
188,2025-05-12,7,Catering,-12474.62
189,2024-06-11,12,Baggage Revenue,13261.41
190,2025-04-26,9,Catering,-4398.39
191,2024-02-14,9,Ticket Revenue,14292.29
192,2026-05-17,15,Crew Cost,-6372.43
193,2024-05-27,14,Crew Cost,-15245.03
194,2026-02-10,2,Fuel,-3197.85
195,2026-08-03,5,Airport Fees,-19862.47
196,2026-04-22,6,Fuel,-21627.52
197,2026-03-17,6,Maintenance,-24516.17
198,2026-04-18,15,Crew Cost,-22418.74
199,2025-05-03,12,Baggage Revenue,16705.13
200,2024-04-06,3,Baggage Revenue,3871.99
201,2025-12-19,10,Catering,-2456.84
202,2025-04-28,14,Airport Fees,-2252.91
203,2024-08-09,4,Airport Fees,-21046.99
204,2026-04-14,7,Baggage Revenue,19192.05
205,2025-02-12,10,Airport Fees,-5796.76
206,2026-03-01,8,Baggage Revenue,6141.62
207,2024-10-25,12,Crew Cost,-2686.18
208,2026-05-27,13,Fuel,-24304.79
209,2026-06-09,4,Airport Fees,-6503.43
210,2024-02-10,15,Baggage Revenue,21238.5
211,2026-07-29,6,Airport Fees,-19199.72
212,2025-02-06,1,Ticket Revenue,20112.8
213,2024-03-02,2,Baggage Revenue,15826.74
214,2024-04-20,6,Fuel,-5565.12
215,2024-12-02,6,Baggage Revenue,5741.03
216,2024-04-27,5,Ticket Revenue,23360.03
217,2026-01-27,7,Catering,-13970.02
218,2025-06-19,7,Crew Cost,-16866.03
219,2024-08-31,4,Catering,-13401.86
220,2026-08-02,3,Fuel,-8759.04
221,2025-03-23,1,Baggage Revenue,17701.45
222,2025-12-25,5,Maintenance,-21529.67
223,2024-12-20,10,Maintenance,-6074.18
224,2025-05-29,10,Catering,-4315.13
225,2025-05-10,1,Fuel,-1928.07
226,2026-03-12,13,Airport Fees,-22608.17
227,2026-01-13,12,Maintenance,-17276.13
228,2025-08-27,15,Baggage Revenue,17852.91
229,2024-05-26,6,Maintenance,-1642.37
230,2024-03-22,4,Ticket Revenue,10145.83
231,2024-03-09,7,Catering,-1715.43
232,2025-08-23,15,Crew Cost,-17317.03
233,2026-04-14,8,Catering,-8757.51
234,2024-03-15,5,Catering,-24523.48
235,2025-08-01,4,Maintenance,-18105.35
236,2024-12-23,14,Baggage Revenue,3824.55
237,2026-05-29,5,Fuel,-4798.59
238,2024-12-17,12,Airport Fees,-3310.63
239,2025-12-02,8,Airport Fees,-6462.67
240,2026-08-02,7,Ticket Revenue,24288.08
241,2024-12-01,3,Crew Cost,-24638.58
242,2024-05-02,15,Crew Cost,-7386.54
243,2026-06-25,5,Fuel,-6331.87
244,2026-03-22,1,Baggage Revenue,6637.71
245,2024-08-01,11,Airport Fees,-12794.58
246,2024-10-17,12,Fuel,-12198.15
247,2025-06-08,15,Maintenance,-11376.41
248,2025-04-05,11,Ticket Revenue,2266.13
249,2025-04-18,3,Fuel,-6681.63
250,2026-04-29,2,Ticket Revenue,11518.55
251,2026-03-09,2,Crew Cost,-5626.34
252,2025-02-06,5,Catering,-15726.35
253,2025-11-16,11,Ticket Revenue,4103.43
254,2025-10-10,7,Airport Fees,-9171.59
255,2025-04-21,4,Crew Cost,-19046.39
256,2026-04-26,4,Maintenance,-14913.27
257,2025-11-21,10,Crew Cost,-22835.87
258,2024-07-09,15,Ticket Revenue,7422.82
259,2024-11-29,5,Maintenance,-554.63
260,2024-11-12,3,Fuel,-12804.79
261,2026-06-06,3,Fuel,-5764.93
262,2025-08-05,9,Ticket Revenue,3344.0
263,2024-01-03,13,Baggage Revenue,739.86
264,2024-12-23,9,Crew Cost,-14788.42
265,2025-10-09,15,Crew Cost,-9840.37
266,2025-02-27,9,Airport Fees,-8285.69
267,2025-09-21,5,Crew Cost,-9721.34
268,2025-11-15,3,Maintenance,-19150.08
269,2024-03-25,1,Crew Cost,-6033.73
270,2026-04-11,8,Fuel,-12889.05
271,2025-10-20,8,Crew Cost,-24851.67
272,2024-12-27,14,Baggage Revenue,1533.14
273,2025-03-24,1,Catering,-16543.9
274,2024-09-11,4,Catering,-17165.23
275,2025-07-27,4,Maintenance,-10741.72
276,2025-12-02,2,Catering,-20237.94
277,2025-05-27,2,Baggage Revenue,16883.77
278,2025-07-25,15,Baggage Revenue,17893.25
279,2026-01-08,1,Baggage Revenue,3496.45
280,2025-12-12,14,Maintenance,-13819.81
281,2026-01-14,11,Maintenance,-4433.07
282,2026-06-19,9,Fuel,-2268.09
283,2025-10-30,3,Baggage Revenue,10785.5
284,2024-08-07,14,Crew Cost,-2737.89
285,2024-08-30,13,Catering,-309.65
286,2025-12-27,15,Airport Fees,-24286.65
287,2024-04-13,4,Catering,-21959.4
288,2024-09-17,3,Fuel,-4891.43
289,2026-03-06,8,Airport Fees,-4002.19
290,2024-08-23,4,Crew Cost,-8773.62
291,2025-12-11,2,Maintenance,-3081.94
292,2025-11-20,9,Crew Cost,-8671.65
293,2025-01-14,2,Catering,-17722.29
294,2024-10-01,11,Fuel,-6213.81
295,2024-11-23,3,Ticket Revenue,19531.67
296,2024-01-13,13,Catering,-23095.33
297,2025-07-11,12,Fuel,-1239.33
298,2025-02-08,8,Airport Fees,-13652.53
299,2024-05-28,12,Ticket Revenue,2188.91
300,2024-12-12,1,Crew Cost,-13913.1
301,2024-04-26,15,Fuel,-1219.22
302,2024-01-24,2,Catering,-12582.67
303,2025-09-18,12,Airport Fees,-10846.84
304,2024-11-30,13,Airport Fees,-23953.81
305,2024-07-06,9,Fuel,-4788.34
306,2024-12-12,9,Ticket Revenue,2978.17
307,2026-02-12,5,Maintenance,-2104.14
308,2025-05-24,1,Catering,-3749.31
309,2025-11-20,10,Crew Cost,-14780.94
310,2025-04-16,11,Fuel,-24341.62
311,2026-04-02,7,Fuel,-15015.06
312,2024-06-06,10,Fuel,-16403.22
313,2026-07-27,6,Fuel,-15500.25
314,2025-10-29,7,Fuel,-4631.35
315,2024-10-21,5,Fuel,-23631.19
316,2026-05-25,13,Baggage Revenue,24798.17
317,2025-06-06,11,Baggage Revenue,4156.94
318,2026-01-31,5,Airport Fees,-6446.37
319,2025-01-09,9,Fuel,-14385.82
320,2024-05-31,12,Crew Cost,-23001.04
321,2025-03-16,2,Catering,-14650.37
322,2025-06-13,5,Crew Cost,-9617.59
323,2024-03-30,8,Airport Fees,-9684.56
324,2024-06-29,9,Crew Cost,-10183.03
325,2024-08-09,4,Fuel,-23288.33
326,2025-01-17,15,Airport Fees,-19345.27
327,2024-07-08,3,Fuel,-20074.72
328,2026-04-20,10,Airport Fees,-1365.88
329,2025-10-24,4,Fuel,-7944.86
330,2024-04-22,9,Maintenance,-19653.99
331,2024-11-07,12,Maintenance,-3228.45
332,2026-06-20,9,Maintenance,-6759.25
333,2026-02-28,6,Maintenance,-20624.57
334,2024-11-18,11,Catering,-14095.55
335,2024-09-13,10,Maintenance,-13738.95
336,2025-08-16,13,Catering,-7590.51
337,2025-12-01,9,Crew Cost,-2589.23
338,2025-04-18,12,Maintenance,-21666.6
339,2025-05-17,9,Maintenance,-4785.28
340,2025-06-14,12,Fuel,-13308.4
341,2025-08-06,2,Baggage Revenue,14933.36
342,2025-08-23,6,Ticket Revenue,12082.12
343,2024-11-14,2,Catering,-20393.5
344,2024-03-26,4,Fuel,-423.67
345,2025-09-06,5,Crew Cost,-9255.07
346,2024-07-10,7,Crew Cost,-17595.25
347,2025-08-25,6,Baggage Revenue,1491.23
348,2025-12-22,8,Crew Cost,-23047.15
349,2025-12-31,10,Fuel,-9658.66
350,2025-12-19,13,Catering,-15000.26
351,2025-04-30,11,Crew Cost,-533.69
352,2025-06-15,8,Ticket Revenue,13621.78
353,2026-01-02,1,Baggage Revenue,5400.91
354,2026-06-25,6,Baggage Revenue,8594.03
355,2026-07-23,8,Catering,-23465.78
356,2024-02-12,9,Maintenance,-18031.86
357,2024-11-04,14,Crew Cost,-16257.3
358,2026-05-14,2,Fuel,-24721.97
359,2025-09-06,14,Catering,-4715.76
360,2025-02-19,9,Crew Cost,-1804.19
361,2025-08-03,6,Ticket Revenue,19283.51
362,2026-05-24,8,Airport Fees,-869.82
363,2026-01-11,12,Ticket Revenue,19546.18
364,2025-03-22,9,Crew Cost,-12800.94
365,2025-11-25,7,Crew Cost,-5904.92
366,2026-01-07,13,Ticket Revenue,16116.22
367,2025-10-28,4,Airport Fees,-12504.74
368,2026-07-31,9,Airport Fees,-4977.01
369,2025-02-25,10,Crew Cost,-20205.85
370,2026-04-17,9,Crew Cost,-7444.04
371,2024-06-19,8,Fuel,-6351.87
372,2024-03-26,11,Fuel,-17482.86
373,2024-06-13,11,Crew Cost,-10663.61
374,2026-01-21,15,Ticket Revenue,8788.16
375,2024-07-13,13,Fuel,-14133.36
376,2025-03-19,11,Crew Cost,-16589.74
377,2024-12-19,1,Ticket Revenue,3372.61
378,2024-10-03,3,Airport Fees,-22414.16
379,2024-06-30,15,Baggage Revenue,9497.47
380,2025-11-13,7,Crew Cost,-5125.54
381,2025-10-21,1,Catering,-3496.8
382,2025-02-19,3,Maintenance,-22508.63
383,2025-10-14,1,Baggage Revenue,1870.34
384,2025-07-17,1,Crew Cost,-17804.08
385,2024-05-12,14,Crew Cost,-804.13
386,2026-01-19,13,Maintenance,-22005.72
387,2024-12-13,2,Ticket Revenue,22787.01
388,2026-02-27,6,Airport Fees,-6902.01
389,2024-01-30,15,Baggage Revenue,1834.84
390,2025-03-23,4,Fuel,-1268.47
391,2026-06-19,12,Baggage Revenue,23963.98
392,2025-02-25,8,Airport Fees,-16141.15
393,2026-02-26,9,Fuel,-23827.86
394,2025-01-30,4,Airport Fees,-12165.24
395,2025-10-30,5,Airport Fees,-20112.58
396,2025-10-10,1,Ticket Revenue,23730.2
397,2024-08-24,2,Baggage Revenue,6502.72
398,2026-06-26,11,Catering,-2515.23
399,2024-10-13,15,Catering,-7234.86
400,2024-09-13,4,Fuel,-13835.69
401,2024-06-17,12,Maintenance,-17477.61
402,2024-09-30,1,Catering,-24399.15
403,2026-08-05,7,Catering,-19682.86
404,2025-09-12,12,Crew Cost,-2460.92
405,2025-08-10,6,Ticket Revenue,23038.08
406,2025-03-05,15,Airport Fees,-21170.33
407,2024-08-15,2,Baggage Revenue,5614.89
408,2024-02-15,2,Fuel,-22340.33
409,2025-12-17,8,Baggage Revenue,5911.2
410,2024-03-10,7,Catering,-13254.85
411,2024-06-21,1,Baggage Revenue,19294.98
412,2025-08-02,4,Maintenance,-2665.73
413,2025-04-14,11,Fuel,-17772.02
414,2024-12-27,1,Maintenance,-13088.67
415,2025-09-24,8,Catering,-12887.61
416,2025-08-21,6,Ticket Revenue,15583.25
417,2024-10-12,1,Ticket Revenue,2169.81
418,2025-12-22,13,Fuel,-3443.78
419,2026-07-18,2,Crew Cost,-4661.96
420,2024-11-23,5,Ticket Revenue,4045.27
421,2026-02-05,5,Ticket Revenue,11395.49
422,2025-07-11,2,Airport Fees,-15124.37
423,2025-05-23,11,Airport Fees,-3605.45
424,2025-02-08,10,Maintenance,-18699.19
425,2025-09-01,4,Maintenance,-21261.14
426,2026-06-02,13,Crew Cost,-2687.01
427,2024-06-07,2,Crew Cost,-4456.68
428,2026-07-13,6,Maintenance,-9422.14
429,2024-07-16,1,Fuel,-16528.98
430,2025-10-09,7,Ticket Revenue,2410.16
431,2025-07-23,3,Ticket Revenue,8878.33
432,2024-12-31,3,Fuel,-24773.74
433,2025-11-19,15,Catering,-13149.19
434,2026-06-28,15,Catering,-4579.96
435,2026-02-26,1,Crew Cost,-15406.73
436,2024-11-17,15,Ticket Revenue,9104.42
437,2025-01-22,6,Catering,-22275.5
438,2025-05-22,13,Maintenance,-23779.31
439,2024-07-24,2,Airport Fees,-6111.24
440,2026-06-19,2,Ticket Revenue,22996.08
441,2024-01-06,8,Baggage Revenue,19462.26
442,2025-08-05,5,Crew Cost,-4143.84
443,2024-09-15,6,Airport Fees,-20707.01
444,2025-01-19,3,Baggage Revenue,4691.12
445,2024-06-04,6,Maintenance,-539.62
446,2024-01-31,2,Airport Fees,-19514.66
447,2025-07-20,6,Ticket Revenue,8849.6
448,2026-01-27,7,Airport Fees,-23064.72
449,2024-04-14,3,Catering,-11239.33
450,2024-03-23,7,Baggage Revenue,15377.93
451,2024-08-05,11,Baggage Revenue,18721.9
452,2024-03-27,15,Catering,-21156.73
453,2025-02-18,3,Fuel,-4682.52
454,2024-08-05,11,Ticket Revenue,5341.67
455,2025-04-20,10,Baggage Revenue,22229.57
456,2025-08-27,2,Airport Fees,-7511.57
457,2024-10-28,3,Ticket Revenue,16040.1
458,2026-05-05,1,Crew Cost,-2051.04
459,2025-05-01,5,Baggage Revenue,16793.77
460,2024-01-08,15,Baggage Revenue,4899.44
461,2025-02-19,6,Catering,-20006.02
462,2025-10-11,13,Crew Cost,-18626.76
463,2025-03-11,9,Ticket Revenue,14824.03
464,2025-05-14,1,Ticket Revenue,4017.42
465,2025-12-13,3,Maintenance,-6850.77
466,2025-08-18,13,Baggage Revenue,1341.97
467,2024-05-14,8,Catering,-8081.2
468,2025-10-23,8,Ticket Revenue,9702.51
469,2024-05-02,7,Fuel,-11791.32
470,2025-09-23,12,Ticket Revenue,24920.02
471,2025-10-21,4,Maintenance,-18214.84
472,2026-03-06,9,Fuel,-10005.28
473,2026-07-30,9,Ticket Revenue,21188.22
474,2024-04-14,11,Maintenance,-9352.06
475,2026-07-23,15,Airport Fees,-9252.2
476,2024-08-02,5,Ticket Revenue,1873.34
477,2024-01-17,14,Airport Fees,-18459.5
478,2026-03-20,8,Baggage Revenue,5297.5
479,2026-05-14,4,Crew Cost,-6107.9
480,2024-03-09,3,Crew Cost,-8853.2
481,2025-03-14,13,Catering,-20601.8
482,2026-07-28,6,Ticket Revenue,21557.8
483,2025-11-13,10,Catering,-13907.63
484,2025-03-11,2,Fuel,-23162.04
485,2026-01-12,13,Maintenance,-10852.1
486,2024-12-04,10,Fuel,-15240.24
487,2024-10-02,3,Crew Cost,-23252.3
488,2025-03-01,1,Fuel,-13176.2
489,2026-04-04,8,Baggage Revenue,11685.9
490,2024-09-30,5,Fuel,-1015.57
491,2025-07-23,9,Catering,-22049.18
492,2026-03-02,2,Fuel,-4968.1
493,2024-01-25,11,Baggage Revenue,11588.6
494,2025-08-13,10,Fuel,-19913.04
495,2026-04-27,15,Catering,-12962.61
496,2024-10-02,8,Catering,-19590.31
497,2024-06-01,7,Crew Cost,-20967.18
498,2026-01-17,6,Crew Cost,-21425.79
499,2024-11-20,10,Baggage Revenue,2265.48
500,2025-11-09,8,Crew Cost,-5401.98
501,2025-04-15,13,Maintenance,-22764.03
502,2025-07-16,3,Airport Fees,-6790.25
503,2024-12-19,3,Catering,-17754.43
504,2025-02-28,14,Airport Fees,-13367.57
505,2024-02-15,15,Airport Fees,-23443.45
506,2026-03-23,6,Maintenance,-6608.66
507,2024-11-17,10,Maintenance,-20214.34
508,2024-07-17,11,Catering,-10418.39
509,2024-02-12,8,Ticket Revenue,6238.29
510,2026-05-18,15,Fuel,-12424.29
511,2025-11-23,14,Maintenance,-13660.86
512,2025-07-25,2,Baggage Revenue,3022.49
513,2025-05-28,7,Airport Fees,-5047.35
514,2026-06-24,11,Maintenance,-22758.23
515,2025-11-16,13,Crew Cost,-16742.93
516,2026-06-15,1,Maintenance,-17692.09
517,2025-04-26,7,Baggage Revenue,9042.92
518,2024-03-21,15,Maintenance,-13632.29
519,2024-09-03,8,Catering,-1251.78
520,2024-11-16,6,Fuel,-3838.36
521,2026-05-13,2,Baggage Revenue,24395.41
522,2025-09-19,5,Maintenance,-5476.4
523,2024-06-23,10,Ticket Revenue,12424.95
524,2024-05-03,5,Baggage Revenue,23280.86
525,2025-03-07,3,Crew Cost,-16437.39
526,2025-06-07,15,Fuel,-4404.13
527,2025-02-08,1,Airport Fees,-11397.3
528,2024-11-23,5,Crew Cost,-11728.47
529,2025-08-12,9,Fuel,-12046.46
530,2026-08-15,14,Airport Fees,-21082.92
531,2026-05-24,12,Crew Cost,-14025.6
532,2024-07-10,14,Ticket Revenue,19215.07
533,2026-01-06,7,Maintenance,-9320.77
534,2024-04-15,13,Catering,-17488.32
535,2024-03-16,5,Catering,-10877.25
536,2025-03-12,3,Fuel,-19255.07
537,2024-09-23,14,Crew Cost,-18465.45
538,2024-08-21,10,Fuel,-8706.97
539,2025-08-16,1,Ticket Revenue,9104.05
540,2026-02-13,6,Catering,-20626.93
541,2025-06-01,3,Crew Cost,-15059.68
542,2024-01-17,8,Catering,-15511.7
543,2026-08-13,11,Baggage Revenue,23976.24
544,2025-09-16,3,Catering,-5816.41
545,2025-02-19,14,Maintenance,-13192.56
546,2025-01-25,15,Catering,-5134.32
547,2026-01-24,10,Ticket Revenue,6217.95
548,2026-06-11,4,Ticket Revenue,15342.91
549,2024-03-04,4,Crew Cost,-3144.52
550,2026-05-25,13,Airport Fees,-3982.13
551,2025-02-21,7,Crew Cost,-6313.54
552,2026-02-06,1,Airport Fees,-12849.44
553,2024-02-09,7,Maintenance,-23989.66
554,2025-02-15,12,Ticket Revenue,17118.76
555,2025-06-30,10,Baggage Revenue,16436.12
556,2025-02-12,12,Airport Fees,-9435.1
557,2024-02-28,11,Catering,-2506.42
558,2024-01-21,4,Baggage Revenue,19950.47
559,2026-04-15,9,Airport Fees,-1260.71
560,2026-06-07,9,Ticket Revenue,18553.1
561,2025-11-03,15,Ticket Revenue,9269.03
562,2026-07-25,5,Catering,-12064.62
563,2026-05-21,5,Crew Cost,-13145.76
564,2024-07-20,4,Baggage Revenue,6367.09
565,2025-06-21,6,Airport Fees,-16802.51
566,2025-03-28,10,Ticket Revenue,7193.68
567,2026-06-02,7,Maintenance,-3904.03
568,2025-07-08,11,Fuel,-9191.93
569,2024-05-04,1,Ticket Revenue,20921.78
570,2025-06-01,11,Crew Cost,-10581.79
571,2025-05-02,14,Catering,-24097.83
572,2025-04-04,13,Airport Fees,-1218.53
573,2024-12-09,7,Crew Cost,-752.98
574,2025-08-03,11,Airport Fees,-22438.19
575,2025-01-12,12,Catering,-5044.51
576,2026-01-26,6,Maintenance,-5646.7
577,2024-11-13,6,Maintenance,-19612.04
578,2025-01-31,15,Maintenance,-4764.78
579,2024-04-20,13,Catering,-15473.21
580,2024-03-12,15,Crew Cost,-1404.78
581,2025-01-22,14,Baggage Revenue,21934.72
582,2024-09-21,7,Ticket Revenue,14398.51
583,2025-11-20,6,Maintenance,-11390.81
584,2024-04-24,15,Maintenance,-9267.02
585,2024-08-11,8,Maintenance,-8020.97
586,2025-08-01,15,Maintenance,-6823.89
587,2024-02-02,10,Ticket Revenue,24386.56
588,2025-05-02,12,Catering,-7836.72
589,2025-09-15,11,Maintenance,-6170.31
590,2024-05-23,13,Catering,-11609.3
591,2024-06-19,3,Maintenance,-6658.31
592,2024-11-21,2,Fuel,-7006.83
593,2024-02-27,5,Airport Fees,-6854.85
594,2026-05-24,5,Fuel,-3704.72
595,2025-09-25,8,Ticket Revenue,22205.93
