EmployeeID,EmployeeName,Department,Level,AnnualSalary,PerformanceScore,EmployeeSatisfaction
67,Employee 0067,Flight Operations,Manager,95328,78,3.76
68,Employee 0068,Engineering,Mid,86373,99,4.87
69,Employee 0069,Engineering,Junior,78185,94,3.31
70,Employee 0070,Cabin Crew,Manager,46777,94,4.9
71,Employee 0071,Ground Operations,Mid,73139,80,3.39
72,Employee 0072,Customer Service,Junior,90490,81,3.54
73,Employee 0073,Ground Operations,Manager,107769,90,4.28
74,Employee 0074,Engineering,Senior,42137,73,3.01
75,Employee 0075,Engineering,Senior,53747,99,4.42
76,Employee 0076,Ground Operations,Junior,108058,76,4.81
77,Employee 0077,Customer Service,Junior,108962,76,3.71
78,Employee 0078,Engineering,Senior,45673,93,4.21
79,Employee 0079,Engineering,Manager,56286,78,3.71
80,Employee 0080,Cabin Crew,Manager,108966,83,4.38
81,Employee 0081,Engineering,Manager,40477,98,4.05
82,Employee 0082,Ground Operations,Mid,53798,75,4.01
83,Employee 0083,Engineering,Senior,104185,73,3.1
84,Employee 0084,Ground Operations,Mid,65569,88,4.32
85,Employee 0085,Engineering,Mid,96906,71,4.01
86,Employee 0086,Flight Operations,Senior,77787,89,3.64
87,Employee 0087,Customer Service,Manager,56011,77,3.96
88,Employee 0088,Ground Operations,Junior,70962,79,3.66
89,Employee 0089,Flight Operations,Senior,80241,81,3.54
90,Employee 0090,Customer Service,Junior,88012,74,3.24
91,Employee 0091,Ground Operations,Senior,72127,97,3.44
92,Employee 0092,Flight Operations,Junior,85733,86,3.26
93,Employee 0093,Flight Operations,Manager,45143,80,3.02
94,Employee 0094,Customer Service,Mid,62515,86,4.48
95,Employee 0095,Engineering,Junior,91795,79,3.19
96,Employee 0096,Ground Operations,Junior,92514,83,3.79
97,Employee 0097,Cabin Crew,Mid,96109,74,4.29
98,Employee 0098,Cabin Crew,Senior,71652,99,4.42
99,Employee 0099,Customer Service,Mid,77997,93,3.15
100,Employee 0100,Cabin Crew,Junior,81395,79,4.76
101,Employee 0101,Ground Operations,Junior,42366,86,3.18
102,Employee 0102,Engineering,Senior,87901,85,4.03
103,Employee 0103,Customer Service,Mid,51650,71,4.64
104,Employee 0104,Engineering,Junior,81165,89,3.92
105,Employee 0105,Customer Service,Senior,99838,85,5.0
106,Employee 0106,Cabin Crew,Junior,40862,90,4.41
107,Employee 0107,Flight Operations,Senior,60862,77,3.68
108,Employee 0108,Ground Operations,Mid,91692,95,3.15
109,Employee 0109,Cabin Crew,Senior,42698,92,4.65
110,Employee 0110,Ground Operations,Senior,70651,76,4.74
111,Employee 0111,Engineering,Mid,90137,86,4.26
112,Employee 0112,Customer Service,Junior,44839,95,3.66
113,Employee 0113,Flight Operations,Senior,107636,70,4.13
114,Employee 0114,Cabin Crew,Manager,49312,73,3.01
115,Employee 0115,Flight Operations,Mid,87900,94,3.83
116,Employee 0116,Cabin Crew,Senior,51711,71,4.97
117,Employee 0117,Engineering,Junior,65290,80,3.43
118,Employee 0118,Flight Operations,Mid,101521,96,4.37
119,Employee 0119,Customer Service,Manager,109278,93,3.21
120,Employee 0120,Flight Operations,Junior,80231,79,4.46
121,Employee 0121,Flight Operations,Mid,50178,87,3.88
122,Employee 0122,Flight Operations,Manager,39160,93,3.68
123,Employee 0123,Ground Operations,Mid,87117,81,4.01
124,Employee 0124,Flight Operations,Junior,95163,93,4.64
125,Employee 0125,Flight Operations,Senior,64037,95,4.68
126,Employee 0126,Cabin Crew,Senior,87297,90,3.71
127,Employee 0127,Customer Service,Mid,50988,90,4.27
128,Employee 0128,Cabin Crew,Senior,73599,76,3.65
129,Employee 0129,Flight Operations,Manager,42992,95,3.9
130,Employee 0130,Flight Operations,Senior,96938,82,4.31
131,Employee 0131,Flight Operations,Junior,98348,86,3.51
132,Employee 0132,Engineering,Senior,92609,94,3.65
133,Employee 0133,Ground Operations,Manager,35772,79,3.33
134,Employee 0134,Flight Operations,Mid,72735,72,4.2
135,Employee 0135,Flight Operations,Junior,70948,70,4.69
136,Employee 0136,Engineering,Senior,90279,85,4.84
137,Employee 0137,Engineering,Mid,91694,86,4.89
138,Employee 0138,Customer Service,Manager,36731,74,4.56
139,Employee 0139,Ground Operations,Senior,103282,88,3.95
140,Employee 0140,Customer Service,Manager,72732,73,4.62
141,Employee 0141,Ground Operations,Mid,41633,88,3.51
142,Employee 0142,Cabin Crew,Junior,62733,83,4.02
143,Employee 0143,Ground Operations,Senior,89090,99,4.84
144,Employee 0144,Engineering,Manager,52326,79,4.16
145,Employee 0145,Cabin Crew,Junior,73487,93,4.22
146,Employee 0146,Cabin Crew,Senior,69554,94,4.24
147,Employee 0147,Customer Service,Manager,61842,98,4.61
148,Employee 0148,Flight Operations,Mid,64431,84,3.17
149,Employee 0149,Ground Operations,Mid,76993,85,3.75
150,Employee 0150,Flight Operations,Mid,48864,92,4.87
151,Employee 0151,Flight Operations,Mid,84513,85,4.93
152,Employee 0152,Cabin Crew,Senior,109986,89,4.12
153,Employee 0153,Customer Service,Senior,91285,83,3.6
154,Employee 0154,Flight Operations,Manager,38899,98,4.7
155,Employee 0155,Flight Operations,Senior,66311,99,4.78
156,Employee 0156,Engineering,Senior,97822,77,3.59
157,Employee 0157,Engineering,Senior,87249,73,4.47
158,Employee 0158,Ground Operations,Manager,91556,93,4.9
159,Employee 0159,Ground Operations,Junior,83654,75,3.86
160,Employee 0160,Engineering,Manager,40577,75,3.16
161,Employee 0161,Cabin Crew,Junior,89324,95,4.67
162,Employee 0162,Ground Operations,Manager,60583,95,4.35
163,Employee 0163,Flight Operations,Senior,37447,71,4.52
164,Employee 0164,Flight Operations,Manager,81082,96,4.32
165,Employee 0165,Cabin Crew,Manager,81996,99,3.84
166,Employee 0166,Ground Operations,Junior,46627,94,4.93
167,Employee 0167,Flight Operations,Senior,91046,76,4.24
168,Employee 0168,Flight Operations,Mid,90727,79,4.05
169,Employee 0169,Flight Operations,Junior,63395,89,4.11
170,Employee 0170,Engineering,Mid,61344,74,4.53
171,Employee 0171,Cabin Crew,Senior,100924,94,4.22
172,Employee 0172,Customer Service,Senior,45622,95,3.15
173,Employee 0173,Engineering,Junior,84406,95,3.56
174,Employee 0174,Cabin Crew,Senior,86822,87,4.03
175,Employee 0175,Flight Operations,Senior,52970,97,3.33
176,Employee 0176,Customer Service,Manager,53826,83,4.71
177,Employee 0177,Cabin Crew,Junior,74248,80,4.55
178,Employee 0178,Customer Service,Senior,61367,82,4.51
179,Employee 0179,Engineering,Manager,42373,77,3.94
180,Employee 0180,Engineering,Senior,67624,73,3.58
181,Employee 0181,Cabin Crew,Junior,90112,84,4.68
182,Employee 0182,Customer Service,Manager,67420,89,3.71
183,Employee 0183,Ground Operations,Junior,91114,93,4.12
184,Employee 0184,Customer Service,Manager,94286,85,3.59
185,Employee 0185,Cabin Crew,Manager,78775,99,4.97
186,Employee 0186,Ground Operations,Junior,83525,98,4.42
187,Employee 0187,Flight Operations,Senior,39953,74,4.93
188,Employee 0188,Cabin Crew,Mid,98963,90,4.92
189,Employee 0189,Cabin Crew,Senior,46745,89,3.42
190,Employee 0190,Cabin Crew,Manager,92842,98,4.46
191,Employee 0191,Flight Operations,Junior,92729,95,3.93
192,Employee 0192,Customer Service,Senior,105232,74,4.26
193,Employee 0193,Engineering,Manager,60098,76,3.93
194,Employee 0194,Engineering,Junior,61182,90,3.11
195,Employee 0195,Customer Service,Manager,53691,77,4.36
196,Employee 0196,Customer Service,Junior,78423,94,3.97
197,Employee 0197,Cabin Crew,Junior,50850,86,3.27
198,Employee 0198,Engineering,Senior,98144,88,4.31
199,Employee 0199,Ground Operations,Manager,84725,95,3.32
200,Employee 0200,Customer Service,Manager,96282,88,4.75
201,Employee 0201,Flight Operations,Junior,71040,87,3.04
202,Employee 0202,Customer Service,Manager,95726,74,3.84
203,Employee 0203,Flight Operations,Mid,42955,95,3.69
204,Employee 0204,Flight Operations,Mid,67284,79,4.77
205,Employee 0205,Engineering,Manager,81629,78,4.49
206,Employee 0206,Customer Service,Manager,71457,88,3.53
207,Employee 0207,Flight Operations,Manager,90702,73,3.68
208,Employee 0208,Flight Operations,Manager,40958,84,4.27
209,Employee 0209,Customer Service,Junior,95088,89,4.94
210,Employee 0210,Ground Operations,Senior,48078,95,3.81
211,Employee 0211,Flight Operations,Senior,44418,76,4.67
212,Employee 0212,Ground Operations,Senior,68088,93,4.44
213,Employee 0213,Engineering,Manager,94969,94,4.41
214,Employee 0214,Customer Service,Junior,58327,86,3.48
215,Employee 0215,Engineering,Junior,97784,96,3.06
216,Employee 0216,Engineering,Junior,53084,88,3.94
217,Employee 0217,Engineering,Junior,94287,78,4.22
218,Employee 0218,Ground Operations,Junior,46235,89,3.96
219,Employee 0219,Engineering,Mid,86867,88,3.77
220,Employee 0220,Ground Operations,Junior,91508,89,3.58
221,Employee 0221,Cabin Crew,Manager,42941,74,4.72
222,Employee 0222,Ground Operations,Junior,95808,90,3.34
223,Employee 0223,Engineering,Mid,81802,95,3.01
224,Employee 0224,Cabin Crew,Senior,71825,84,3.22
225,Employee 0225,Ground Operations,Senior,103223,85,3.89
226,Employee 0226,Cabin Crew,Junior,96879,73,4.12
227,Employee 0227,Cabin Crew,Senior,62247,79,4.4
228,Employee 0228,Flight Operations,Manager,103587,98,4.12
229,Employee 0229,Engineering,Junior,101395,97,4.27
230,Employee 0230,Engineering,Manager,46428,70,3.23
231,Employee 0231,Engineering,Manager,82571,89,3.88
232,Employee 0232,Flight Operations,Mid,97307,70,4.42
233,Employee 0233,Flight Operations,Mid,44662,90,3.65
234,Employee 0234,Engineering,Manager,37083,98,3.51
235,Employee 0235,Engineering,Senior,92024,87,3.55
236,Employee 0236,Cabin Crew,Mid,43481,84,3.76
237,Employee 0237,Ground Operations,Mid,59035,77,3.01
238,Employee 0238,Customer Service,Manager,65841,94,4.81
239,Employee 0239,Cabin Crew,Junior,99528,97,3.41
240,Employee 0240,Customer Service,Senior,85323,81,4.71
